It,AveBestFitness,AvgConvergence,ExperimentName
3,65.73194535354702,1.6885936408758315,pcross=0.2
4,65.73194535354702,1.3441587779508537,pcross=0.2
5,63.418523065393074,1.2684943734498475,pcross=0.2
6,59.117975013296615,1.1983463315906033,pcross=0.2
7,59.105460599536485,1.1499977574540197,pcross=0.2
8,52.49575342537425,1.1573607753047097,pcross=0.2
9,52.49575342537425,1.0231049196137816,pcross=0.2
10,52.05889222104824,0.9793761611009398,pcross=0.2
11,47.41358145870218,1.0118496423672176,pcross=0.2
12,39.9931969947035,1.0301040100580623,pcross=0.2
13,33.29796781582756,1.0451962030894675,pcross=0.2
14,25.87011540082318,0.9951995431478342,pcross=0.2
15,25.87011540082318,0.8949393625497928,pcross=0.2
16,25.87011540082318,0.8338992320277956,pcross=0.2
