It,AveBestFitness,ExperimentName
56,62.30541307289908,c1=0.5
57,62.30541307289908,c1=0.5
58,62.30541307289908,c1=0.5
59,61.60037320878852,c1=0.5
60,61.60037320878852,c1=0.5
61,61.60037320878852,c1=0.5
62,61.572987977362374,c1=0.5
63,61.48463615214834,c1=0.5
64,61.48463615214834,c1=0.5
65,61.48463615214834,c1=0.5
66,61.48463615214834,c1=0.5
67,61.48463615214834,c1=0.5
68,61.37531483277898,c1=0.5
69,61.37531483277898,c1=0.5
70,61.37531483277898,c1=0.5
71,61.37531483277898,c1=0.5
72,61.33780786927559,c1=0.5
73,61.33780786927559,c1=0.5
74,61.33780786927559,c1=0.5
75,61.33780786927559,c1=0.5
76,61.33780786927559,c1=0.5
77,61.33780786927559,c1=0.5
78,61.202387813964016,c1=0.5
79,61.202387813964016,c1=0.5
80,61.202387813964016,c1=0.5
81,61.202387813964016,c1=0.5
82,61.202387813964016,c1=0.5
83,61.202387813964016,c1=0.5
84,61.202387813964016,c1=0.5
85,61.202387813964016,c1=0.5
86,61.19763928315465,c1=0.5
87,61.08735732972597,c1=0.5
88,61.08735732972597,c1=0.5
89,61.08735732972597,c1=0.5
90,61.08735732972597,c1=0.5
91,60.904502153719065,c1=0.5
92,60.904502153719065,c1=0.5
93,60.904502153719065,c1=0.5
94,60.904502153719065,c1=0.5
95,60.904502153719065,c1=0.5
96,60.904502153719065,c1=0.5
97,60.904502153719065,c1=0.5
98,60.904502153719065,c1=0.5
99,60.904502153719065,c1=0.5
0,105.93722262912448,c1=1
1,80.55321040048919,c1=1
2,74.49633114759114,c1=1
3,72.19935810676871,c1=1
4,70.02734069347976,c1=1
5,68.1147337989344,c1=1
6,67.48426546280093,c1=1
7,67.06594320297155,c1=1
8,65.91362469514968,c1=1
9,65.28834387121663,c1=1
10,63.59998795868641,c1=1
11,62.98296292187646,c1=1
12,61.851361989823765,c1=1
13,61.41605000615961,c1=1
14,61.41605000615961,c1=1
15,60.3737571291942,c1=1
16,60.355780370084766,c1=1
17,60.194201628301634,c1=1
18,59.80806403085458,c1=1
